"Timestamp","What is your cat's name?","What are your cat's weird behaviors? Check all that apply.","What size is your cat?","What is your cat's sex?","How old is your cat?","Which of these best describes your cat?","What kind of fur does your cat have?"
"2017/03/03 3:33:30 PM PST","Peaches","Kneads / makes muffins / makes biscuits;Rubs self on corners;Sleeps or sits in contorted positions;Loves specific, non-meat foods (e.g. crackers, bananas);Loves computer keyboards;Stares intensely at the wall;Freaks out about food even when there is plenty in bowl;Stands on hind legs","smol","Female","0-6 months","Indoors only","Short"
"2017/03/03 3:34:06 PM PST","Louis","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed;Attacks toes;Deliberately knocks things over;Loves computer keyboards;Stares intensely at the wall;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L);Drinks from faucet;Freaks out about food even when there is plenty in bowl","Medium","Male","0-6 months","Indoors only","Short"
"2017/03/03 3:34:28 PM PST","Ribbon","Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed;Attacks toes;Deliberately knocks things over;Loves computer keyboards;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L);Freaks out about food even when there is plenty in bowl;Stands on hind legs","smol","Female","1-2 years","Indoors + backyard","Short"
"2017/03/03 3:35:09 PM PST","Basil","Rubs self on corners;Loves specific, non-meat foods (e.g. crackers, bananas);Deliberately knocks things over;Stares intensely at the wall;Drinks from faucet;Freaks out about food even when there is plenty in bowl","Lorge","Male","10+ years","Indoors + roams free outdoors","Short"
"2017/03/03 3:35:38 PM PST","Leonardo ","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Hides under sheets when making bed;Prefers men;Attacks toes;Deliberately knocks things over;Loves computer keyboards;Stares intensely at the wall;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L);Stands on hind legs","THICC","Male","1-2 years","Indoors + backyard","Short"
"2017/03/03 3:35:44 PM PST","cleo","Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed;Loves computer keyboards","THICC","Female","10+ years","Indoors only","Short"
"2017/03/03 3:36:05 PM PST","Ella","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Sleeps or sits in contorted positions;Hides under sheets when making bed;Deliberately knocks things over;Freaks out about food even when there is plenty in bowl","Lorge","Female","10+ years","Indoors only","Short"
"2017/03/03 3:36:07 PM PST","Anna","Kneads / makes muffins / makes biscuits;Rubs self on corners","smol","Female","1-2 years","Indoors only","Short"
"2017/03/03 3:36:10 PM PST","Artemis","Rubs self on corners;Loves boxes;Loves specific, non-meat foods (e.g. crackers, bananas);Prefers men","Lorge","Female","5-10 years","Indoors only","Short"
"2017/03/03 3:36:14 PM PST","Sassy","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Drools when happy;Sprints suddenly and without reason;Hides under sheets when making bed;Attacks toes;Stares intensely at the wall;Freaks out about food even when there is plenty in bowl","Lorge","Male","10+ years","Indoors only","Long"
"2017/03/03 3:36:20 PM PST","nellie","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed;Attacks toes;Deliberately knocks things over;Loves computer keyboards;Stares intensely at the wall;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L);Drinks from faucet;Stands on hind legs","Medium","Female","2-5 years","Indoors only","Long"
"2017/03/03 3:36:39 PM PST","Frida","Kneads / makes muffins / makes biscuits;Stares intensely at the wall;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L)","smol","Female","2-5 years","Indoors only","Short"
"2017/03/03 3:36:48 PM PST","Maisie ","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Drools when happy;Sprints suddenly and without reason;Deliberately knocks things over;Stares intensely at the wall;Freaks out about food even when there is plenty in bowl","Medium","Female","10+ years","Indoors + roams free outdoors","Short"
"2017/03/03 3:37:06 PM PST","Snow","Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Hides under sheets when making bed;Attacks toes;Deliberately knocks things over;Stares intensely at the wall;Freaks out about food even when there is plenty in bowl","smol","Female","1-2 years","Indoors only","Long"
"2017/03/03 3:37:25 PM PST","Edgar","Kneads / makes muffins / makes biscuits;Sets belly rub traps;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Attacks toes;Freaks out about food even when there is plenty in bowl;Stands on hind legs","smol","Male","2-5 years","Indoors only","Short"
"2017/03/03 3:37:57 PM PST","Theodoshia Fern (Teddy) ","Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Loves computer keyboards;Drinks from faucet;Freaks out about food even when there is plenty in bowl","smol","Female","10+ years","Indoors + backyard","Short"
"2017/03/03 3:37:58 PM PST","Allan","Rubs self on corners;Sprints suddenly and without reason;Prefers men;Loves computer keyboards","Lorge","Male","1-2 years","Indoors only","Short"
"2017/03/03 3:38:01 PM PST","Smudge","Paws at closed doors;Sets belly rub traps;Rubs self on corners;Sleeps or sits in contorted positions;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L);Drinks from faucet;Freaks out about food even when there is plenty in bowl","smol","Female","1-2 years","Indoors + roams free outdoors","Short"
"2017/03/03 3:38:01 PM PST","Oreo","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Loves specific, non-meat foods (e.g. crackers, bananas);Deliberately knocks things over;Stares intensely at the wall;Drinks from faucet","Lorge","Male","2-5 years","Indoors + backyard","Short"
"2017/03/03 3:38:29 PM PST","Ares","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions","Medium","Male","2-5 years","Indoors + roams free outdoors","Short"
"2017/03/03 3:38:39 PM PST","Little Poe","Sets belly rub traps;Loves boxes;Sleeps or sits in contorted positions;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L);Freaks out about food even when there is plenty in bowl;Stands on hind legs","smol","Male","2-5 years","Indoors only","Short"
"2017/03/03 3:38:46 PM PST","Nugget","Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Drools when happy;Stares intensely at the wall;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L)","Lorge","Male","1-2 years","Indoors only","Long"
"2017/03/03 3:39:09 PM PST","Bart","Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Prefers men;Attacks toes;Deliberately knocks things over;Stares intensely at the wall;Drinks from faucet;Freaks out about food even when there is plenty in bowl","smol","Male","5-10 years","Indoors + roams free outdoors","Short"
"2017/03/03 3:39:20 PM PST","","Paws at closed doors;Rubs self on corners;Stares intensely at the wall","Medium","Female","2-5 years","Indoors only","Short"
"2017/03/03 3:39:27 PM PST","Skađi","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Drinks from faucet;Stands on hind legs","smol","Female","1-2 years","Indoors + backyard","Short"
"2017/03/03 3:39:53 PM PST","Tallulah","Paws at closed doors;Rubs self on corners;Sprints suddenly and without reason;Hides under sheets when making bed;Loves computer keyboards;Stands on hind legs","THICC","Female","2-5 years","Indoors only","Long"
"2017/03/03 3:40:03 PM PST","Skittles","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed;Attacks toes;Deliberately knocks things over","Medium","Male","5-10 years","Indoors + roams free outdoors","Long"
"2017/03/03 3:40:14 PM PST","Tritsy ","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Loves boxes;Hides under sheets when making bed;Attacks toes;Freaks out about food even when there is plenty in bowl","Medium","Female","5-10 years","Indoors + backyard","Short"
"2017/03/03 3:40:15 PM PST","Atlas","Paws at closed doors;Rubs self on corners;Sleeps or sits in contorted positions;Hides under sheets when making bed;Attacks toes","Medium","Male","1-2 years","Indoors + roams free outdoors","Short"
"2017/03/03 3:40:33 PM PST","Sashimi","Rubs self on corners;Loves boxes;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed;Attacks toes;Loves computer keyboards;Drinks from faucet","Medium","Male","6-12 months","Indoors only","Short"
"2017/03/03 3:40:39 PM PST","Nora","Paws at closed doors;Sets belly rub traps;Rubs self on corners;Sprints suddenly and without reason;Hides under sheets when making bed;Stares intensely at the wall;Stands on hind legs","Lorge","Female","2-5 years","Indoors only","Short"
"2017/03/03 3:41:22 PM PST","Rex ","Rubs self on corners;Drools when happy","Lorge","Male","5-10 years","Indoors + roams free outdoors","Short"
"2017/03/03 3:41:23 PM PST","Zeus","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Sprints suddenly and without reason;Deliberately knocks things over;Loves computer keyboards;Stares intensely at the wall;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L);Drinks from faucet;Freaks out about food even when there is plenty in bowl;Stands on hind legs","Lorge","Male","2-5 years","Indoors only","Short"
"2017/03/03 3:41:41 PM PST","John","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sets belly rub traps;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Deliberately knocks things over;Stares intensely at the wall","Lorge","Male","2-5 years","Indoors + roams free outdoors","Short"
"2017/03/03 3:41:51 PM PST","Angel","Sets belly rub traps;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason","Medium","Female","2-5 years","Indoors only","Long"
"2017/03/03 3:41:54 PM PST","Apollo","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Drools when happy;Stands on hind legs","Medium","Male","1-2 years","Indoors + roams free outdoors","Short"
"2017/03/03 3:42:23 PM PST","Shadow ","Rubs self on corners;Loves boxes;Deliberately knocks things over;Stares intensely at the wall;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L)","Lorge","Male","5-10 years","Indoors + roams free outdoors","Short"
"2017/03/03 3:42:25 PM PST","Kenya","Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Prefers men;Freaks out about food even when there is plenty in bowl;Stands on hind legs","smol","Male","10+ years","Indoors + backyard","Short"
"2017/03/03 3:42:36 PM PST","Missy","Loves boxes;Drools when happy;Stares intensely at the wall;Drinks from faucet","Medium","Female","2-5 years","Indoors + roams free outdoors","Short"
"2017/03/03 3:42:52 PM PST","Pixie","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sets belly rub traps;Loves boxes;Sleeps or sits in contorted positions;Drools when happy;Loves specific, non-meat foods (e.g. crackers, bananas)","Medium","Female","5-10 years","Indoors + roams free outdoors","Short"
"2017/03/03 3:42:56 PM PST","Mrs Miggins","Sets belly rub traps;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed;Loves computer keyboards;Drinks from faucet","Medium","Female","5-10 years","Indoors + roams free outdoors","Short"
"2017/03/03 3:43:02 PM PST","Smokey ","Kneads / makes muffins / makes biscuits;Rubs self on corners;Drinks from faucet","Medium","Female","5-10 years","Indoors + backyard","Short"
"2017/03/03 3:43:13 PM PST","Zena","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes","smol","Female","1-2 years","Indoors + roams free outdoors","Short"
"2017/03/03 3:43:18 PM PST","Nyia","Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Deliberately knocks things over;Loves computer keyboards;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L);Freaks out about food even when there is plenty in bowl","smol","Female","10+ years","Indoors + backyard","Short"
"2017/03/03 3:43:29 PM PST","Yuki","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Deliberately knocks things over","smol","Female","1-2 years","Indoors + backyard","Long"
"2017/03/03 3:43:32 PM PST","Shadow","Paws at closed doors;Rubs self on corners;Loves boxes;Sprints suddenly and without reason;Deliberately knocks things over;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L)","Lorge","Male","5-10 years","Indoors + roams free outdoors","Short"
"2017/03/03 3:43:43 PM PST","Belle","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Deliberately knocks things over;Stares intensely at the wall;Freaks out about food even when there is plenty in bowl","Medium","Female","5-10 years","Indoors + roams free outdoors","Short"
"2017/03/03 3:43:56 PM PST","Poko","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed;Attacks toes;Deliberately knocks things over;Loves computer keyboards;Stares intensely at the wall;Drinks from faucet;Freaks out about food even when there is plenty in bowl","Medium","Male","1-2 years","Indoors only","Long"
"2017/03/03 3:44:16 PM PST","Stripey Cat","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Prefers men;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L);Drinks from faucet;Freaks out about food even when there is plenty in bowl;Stands on hind legs","Lorge","Female","5-10 years","Indoors + roams free outdoors","Short"
"2017/03/03 3:44:49 PM PST","Mao","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Loves boxes;Sprints suddenly and without reason;Prefers men;Stares intensely at the wall;Drinks from faucet;Freaks out about food even when there is plenty in bowl","Lorge","Male","5-10 years","Indoors + roams free outdoors","Short"
"2017/03/03 3:45:08 PM PST","Cleo","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Sleeps or sits in contorted positions;Drools when happy;Sprints suddenly and without reason;Hides under sheets when making bed;Freaks out about food even when there is plenty in bowl;Stands on hind legs","smol","Female","2-5 years","Indoors + backyard","Short"
"2017/03/03 3:45:25 PM PST","Mitzi","Sets belly rub traps;Rubs self on corners;Loves boxes;Sprints suddenly and without reason;Hides under sheets when making bed;Freaks out about food even when there is plenty in bowl","Medium","Female","2-5 years","Indoors + backyard","Short"
"2017/03/03 3:46:52 PM PST","","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed;Attacks toes;Stares intensely at the wall;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L);Freaks out about food even when there is plenty in bowl;Stands on hind legs","Lorge","Male","1-2 years","Indoors + backyard","Long"
"2017/03/03 3:46:55 PM PST","Shady Jo","Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Hides under sheets when making bed;Prefers men;Drinks from faucet","Medium","Male","1-2 years","Indoors + roams free outdoors","Short"
"2017/03/03 3:47:19 PM PST","Charlie","Paws at closed doors;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Attacks toes;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L)","Medium","Male","5-10 years","Indoors + roams free outdoors","Long"
"2017/03/03 3:47:33 PM PST","Smokey","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed;Prefers men;Attacks toes;Deliberately knocks things over;Loves computer keyboards;Stares intensely at the wall;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L);Freaks out about food even when there is plenty in bowl;Stands on hind legs","Lorge","Male","2-5 years","Indoors + backyard","Short"
"2017/03/03 3:47:45 PM PST","Stubbs","Rubs self on corners;Sprints suddenly and without reason;Attacks toes;Deliberately knocks things over;Loves computer keyboards","smol","Female","1-2 years","Indoors + roams free outdoors","Short"
"2017/03/03 3:47:46 PM PST","Pepper","Paws at closed doors;Sets belly rub traps;Rubs self on corners;Loves boxes;Sprints suddenly and without reason;Attacks toes;Loves computer keyboards;Drinks from faucet;Freaks out about food even when there is plenty in bowl","Medium","Male","5-10 years","Indoors + roams free outdoors","Short"
"2017/03/03 3:48:13 PM PST","Pepper","Paws at closed doors;Kneads / makes muffins / makes biscuits;Loves boxes;Sleeps or sits in contorted positions;Deliberately knocks things over;Loves computer keyboards;Drinks from faucet","Lorge","Male","2-5 years","Indoors + backyard","Long"
"2017/03/03 3:48:15 PM PST","Mac","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed;Attacks toes;Freaks out about food even when there is plenty in bowl;Stands on hind legs","Medium","Male","2-5 years","Indoors + roams free outdoors","Short"
"2017/03/03 3:48:30 PM PST","Michi","Kneads / makes muffins / makes biscuits;Rubs self on corners;Attacks toes;Deliberately knocks things over;Loves computer keyboards","Medium","Female","2-5 years","Indoors + roams free outdoors","Short"
"2017/03/03 3:49:33 PM PST","Pinkie","Paws at closed doors;Kneads / makes muffins / makes biscuits;Loves boxes;Sleeps or sits in contorted positions;Drools when happy;Sprints suddenly and without reason;Attacks toes;Stands on hind legs","Medium","Female","2-5 years","Indoors + roams free outdoors","Short"
"2017/03/03 3:49:40 PM PST","Scout","Paws at closed doors;Rubs self on corners;Loves boxes;Sprints suddenly and without reason;Hides under sheets when making bed;Attacks toes;Deliberately knocks things over;Stares intensely at the wall;Drinks from faucet;Freaks out about food even when there is plenty in bowl","Medium","Male","2-5 years","Indoors only","Short"
"2017/03/03 3:49:43 PM PST","Banshee","Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Loves specific, non-meat foods (e.g. crackers, bananas);Loves computer keyboards;Stares intensely at the wall;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L)","THICC","Female","2-5 years","Indoors only","Short"
"2017/03/03 3:49:48 PM PST","Chiquita","Paws at closed doors;Rubs self on corners;Loves boxes;Drools when happy;Sprints suddenly and without reason;Drinks from faucet","smol","Female","5-10 years","Indoors + roams free outdoors","Short"
"2017/03/03 3:49:49 PM PST","Jasmine","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Sprints suddenly and without reason;Prefers men;Freaks out about food even when there is plenty in bowl","smol","Female","5-10 years","Indoors + backyard","Short"
"2017/03/03 3:50:17 PM PST","kimchi","Kneads / makes muffins / makes biscuits;Sets belly rub traps;Loves boxes","Medium","Male","1-2 years","Indoors only","Short"
"2017/03/03 3:50:19 PM PST","Mistletoe ","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Drools when happy","smol","Female","5-10 years","Indoors only","Short"
"2017/03/03 3:50:46 PM PST","Leo","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sets belly rub traps;Loves boxes;Sprints suddenly and without reason;Deliberately knocks things over;Freaks out about food even when there is plenty in bowl;Stands on hind legs","Medium","Male","1-2 years","Indoors + backyard","Short"
"2017/03/03 3:51:07 PM PST","Nessa","Paws at closed doors;Kneads / makes muffins / makes biscuits;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed;Loves computer keyboards;Stares intensely at the wall;Stands on hind legs","smol","Female","2-5 years","Indoors only","Long"
"2017/03/03 3:51:10 PM PST","ceviche","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sleeps or sits in contorted positions;Drools when happy;Sprints suddenly and without reason;Hides under sheets when making bed;Stands on hind legs","Lorge","Male","1-2 years","Indoors only","Short"
"2017/03/03 3:52:10 PM PST","Boof","Kneads / makes muffins / makes biscuits;Rubs self on corners;Sleeps or sits in contorted positions;Loves computer keyboards;Stares intensely at the wall;Stands on hind legs","Lorge","Male","0-6 months","Indoors + roams free outdoors","Short"
"2017/03/03 3:52:12 PM PST","Tashi","Kneads / makes muffins / makes biscuits;Rubs self on corners","smol","Female","10+ years","Outdoors only","Short"
"2017/03/03 3:52:21 PM PST","Mike ","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed;Prefers men;Attacks toes;Deliberately knocks things over;Stares intensely at the wall;Drinks from faucet;Freaks out about food even when there is plenty in bowl;Stands on hind legs","Lorge","Male","6-12 months","Indoors only","Long"
"2017/03/03 3:52:37 PM PST","Daisy","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Loves boxes;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Prefers men;Attacks toes;Deliberately knocks things over;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L);Freaks out about food even when there is plenty in bowl","Lorge","Male","2-5 years","Indoors only","Short"
"2017/03/03 3:52:42 PM PST","Arthur","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed;Loves computer keyboards;Stares intensely at the wall;Freaks out about food even when there is plenty in bowl","Medium","Male","2-5 years","Indoors only","None (e.g. sphinx cat)"
"2017/03/03 3:52:57 PM PST","","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sets belly rub traps;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Deliberately knocks things over;Loves computer keyboards","Medium","Female","1-2 years","Indoors only","Short"
"2017/03/03 3:53:02 PM PST","Kima ","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed;Deliberately knocks things over;Loves computer keyboards;Stares intensely at the wall;Freaks out about food even when there is plenty in bowl;Stands on hind legs","Lorge","Female","2-5 years","Indoors only","Short"
"2017/03/03 3:53:02 PM PST","Seth ","Kneads / makes muffins / makes biscuits;Rubs self on corners;Sprints suddenly and without reason;Deliberately knocks things over;Freaks out about food even when there is plenty in bowl","Lorge","Male","5-10 years","Indoors only","Short"
"2017/03/03 3:53:20 PM PST","Esther","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed;Attacks toes;Deliberately knocks things over;Stares intensely at the wall;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L);Freaks out about food even when there is plenty in bowl","smol","Female","1-2 years","Indoors only","None (e.g. sphinx cat)"
"2017/03/03 3:53:32 PM PST","Nymeria ","Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed;Prefers men;Attacks toes;Loves computer keyboards;Stares intensely at the wall;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L);Drinks from faucet;Stands on hind legs","smol","Female","2-5 years","Indoors only","Short"
"2017/03/03 3:53:54 PM PST","River","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Drools when happy;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Attacks toes;Deliberately knocks things over;Loves computer keyboards;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L);Drinks from faucet;Freaks out about food even when there is plenty in bowl","Medium","Female","1-2 years","Indoors only","Short"
"2017/03/03 3:53:56 PM PST","Thor","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed;Deliberately knocks things over;Freaks out about food even when there is plenty in bowl;Stands on hind legs","Lorge","Male","2-5 years","Indoors only","Short"
"2017/03/03 3:54:08 PM PST","Sybil (Nibs)","Paws at closed doors;Sleeps or sits in contorted positions;Loves specific, non-meat foods (e.g. crackers, bananas);Stares intensely at the wall","Lorge","Female","5-10 years","Indoors + roams free outdoors","Short"
"2017/03/03 3:54:09 PM PST","Pudge ","Paws at closed doors;Kneads / makes muffins / makes biscuits;Loves boxes;Sleeps or sits in contorted positions;Drools when happy;Sprints suddenly and without reason;Stares intensely at the wall;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L);Stands on hind legs","Medium","Male","2-5 years","Indoors only","Long"
"2017/03/03 3:54:24 PM PST","Mike ","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed;Prefers men;Attacks toes;Deliberately knocks things over;Stares intensely at the wall;Drinks from faucet;Freaks out about food even when there is plenty in bowl;Stands on hind legs","Lorge","Male","6-12 months","Indoors only","Long"
"2017/03/03 3:54:56 PM PST","Amelia","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed;Attacks toes;Deliberately knocks things over;Loves computer keyboards","THICC","Female","2-5 years","Indoors only","Short"
"2017/03/03 3:55:00 PM PST","","Drinks from faucet;Freaks out about food even when there is plenty in bowl;Stands on hind legs","Lorge","Female","2-5 years","Indoors only","Short"
"2017/03/03 3:55:05 PM PST","Havana","Paws at closed doors;Sprints suddenly and without reason;Deliberately knocks things over;Freaks out about food even when there is plenty in bowl","smol","","0-6 months","Indoors only","Long"
"2017/03/03 3:55:10 PM PST","Ember ","Kneads / makes muffins / makes biscuits;Sets belly rub traps;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed;Attacks toes;Deliberately knocks things over;Loves computer keyboards;Stares intensely at the wall;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L);Freaks out about food even when there is plenty in bowl;Stands on hind legs","Medium","Female","2-5 years","Indoors + roams free outdoors","Short"
